device,detector,traffic,time
tre133,a60,0,00-01
tre133,a_31,0,00-01
tre133,b60_1,0,00-01
tre133,b60_2,0,00-01
tre133,b_55_1,0,00-01
tre133,b_55_2,0,00-01
tre133,c60,0,00-01
tre133,d50,0,00-01
tre133,e_41_1,0,00-01
tre133,e_41_2,0,00-01
tre133,f50,0,00-01
tre133,a60,0,01-02
tre133,a_31,0,01-02
tre133,b60_1,60,01-02
tre133,b60_2,0,01-02
tre133,b_55_1,60,01-02
tre133,b_55_2,0,01-02
tre133,c60,0,01-02
tre133,d50,0,01-02
tre133,e_41_1,0,01-02
tre133,e_41_2,0,01-02
tre133,f50,60,01-02
tre133,a60,0,02-03
tre133,a_31,0,02-03
tre133,b60_1,0,02-03
tre133,b60_2,60,02-03
tre133,b_55_1,0,02-03
tre133,b_55_2,0,02-03
tre133,c60,0,02-03
tre133,d50,0,02-03
tre133,e_41_1,0,02-03
tre133,e_41_2,0,02-03
tre133,f50,0,02-03
tre133,a60,0,03-04
tre133,a_31,0,03-04
tre133,b60_1,0,03-04
tre133,b60_2,0,03-04
tre133,b_55_1,120,03-04
tre133,b_55_2,60,03-04
tre133,c60,0,03-04
tre133,d50,60,03-04
tre133,e_41_1,0,03-04
tre133,e_41_2,0,03-04
tre133,f50,0,03-04
tre133,a60,0,04-05
tre133,a_31,0,04-05
tre133,b60_1,0,04-05
tre133,b60_2,0,04-05
tre133,b_55_1,0,04-05
tre133,b_55_2,0,04-05
tre133,c60,0,04-05
tre133,d50,60,04-05
tre133,e_41_1,0,04-05
tre133,e_41_2,0,04-05
tre133,f50,0,04-05
tre133,a60,0,05-06
tre133,a_31,180,05-06
tre133,b60_1,0,05-06
tre133,b60_2,0,05-06
tre133,b_55_1,240,05-06
tre133,b_55_2,0,05-06
tre133,c60,60,05-06
tre133,d50,0,05-06
tre133,e_41_1,0,05-06
tre133,e_41_2,0,05-06
tre133,f50,240,05-06
tre133,a60,0,06-07
tre133,a_31,120,06-07
tre133,b60_1,300,06-07
tre133,b60_2,180,06-07
tre133,b_55_1,420,06-07
tre133,b_55_2,120,06-07
tre133,c60,120,06-07
tre133,d50,0,06-07
tre133,e_41_1,60,06-07
tre133,e_41_2,120,06-07
tre133,f50,300,06-07
tre133,a60,0,07-08
tre133,a_31,600,07-08
tre133,b60_1,60,07-08
tre133,b60_2,360,07-08
tre133,b_55_1,720,07-08
tre133,b_55_2,300,07-08
tre133,c60,540,07-08
tre133,d50,0,07-08
tre133,e_41_1,360,07-08
tre133,e_41_2,420,07-08
tre133,f50,1260,07-08
tre133,a60,0,08-09
tre133,a_31,480,08-09
