device,detector,time,traffic_monday,traffic_friday
tre133,a60,00-01,0,0
tre133,a_31,00-01,0,0
tre133,b60_1,00-01,0,0
tre133,b60_2,00-01,0,0
tre133,b_55_1,00-01,0,0
tre133,b_55_2,00-01,0,0
tre133,c60,00-01,0,0
tre133,d50,00-01,0,0
tre133,e_41_1,00-01,0,0
tre133,e_41_2,00-01,0,0
tre133,f50,00-01,0,0
tre133,a60,01-02,0,0
tre133,a_31,01-02,0,60
tre133,b60_1,01-02,60,0
tre133,b60_2,01-02,0,0
tre133,b_55_1,01-02,60,0
tre133,b_55_2,01-02,0,60
tre133,c60,01-02,0,60
tre133,d50,01-02,0,60
tre133,e_41_1,01-02,0,0
tre133,e_41_2,01-02,0,0
tre133,f50,01-02,60,0
tre133,a60,02-03,0,0
tre133,a_31,02-03,0,60
tre133,b60_1,02-03,0,0
tre133,b60_2,02-03,60,0
tre133,b_55_1,02-03,0,0
tre133,b_55_2,02-03,0,0
tre133,c60,02-03,0,0
tre133,d50,02-03,0,0
tre133,e_41_1,02-03,0,0
tre133,e_41_2,02-03,0,0
tre133,f50,02-03,0,0
tre133,a60,03-04,0,0
tre133,a_31,03-04,0,60
tre133,b60_1,03-04,0,60
tre133,b60_2,03-04,0,0
tre133,b_55_1,03-04,120,180
tre133,b_55_2,03-04,60,0
tre133,c60,03-04,0,60
tre133,d50,03-04,60,180
tre133,e_41_1,03-04,0,0
tre133,e_41_2,03-04,0,0
tre133,f50,03-04,0,0
tre133,a60,04-05,0,0
tre133,a_31,04-05,0,60
tre133,b60_1,04-05,0,60
tre133,b60_2,04-05,0,0
tre133,b_55_1,04-05,0,60
tre133,b_55_2,04-05,0,0
tre133,c60,04-05,0,0
tre133,d50,04-05,60,180
tre133,e_41_1,04-05,0,0
tre133,e_41_2,04-05,0,0
tre133,f50,04-05,0,0
tre133,a60,05-06,0,0
tre133,a_31,05-06,180,60
tre133,b60_1,05-06,0,0
tre133,b60_2,05-06,0,0
tre133,b_55_1,05-06,240,180
tre133,b_55_2,05-06,0,0
tre133,c60,05-06,60,60
tre133,d50,05-06,0,60
tre133,e_41_1,05-06,0,60
tre133,e_41_2,05-06,0,120
tre133,f50,05-06,240,240
tre133,a60,06-07,0,0
tre133,a_31,06-07,120,180
tre133,b60_1,06-07,300,120
tre133,b60_2,06-07,180,240
tre133,b_55_1,06-07,420,120
tre133,b_55_2,06-07,120,180
tre133,c60,06-07,120,180
tre133,d50,06-07,0,60
tre133,e_41_1,06-07,60,120
tre133,e_41_2,06-07,120,60
tre133,f50,06-07,300,240
tre133,a60,07-08,0,0
tre133,a_31,07-08,600,720
tre133,b60_1,07-08,60,300
tre133,b60_2,07-08,360,240
tre133,b_55_1,07-08,720,720
tre133,b_55_2,07-08,300,60
tre133,c60,07-08,540,660
tre133,d50,07-08,0,60
tre133,e_41_1,07-08,360,360
tre133,e_41_2,07-08,420,540
tre133,f50,07-08,1260,420
tre133,a60,08-09,0,0
tre133,a_31,08-09,480,240
tre133,b60_1,08-09,180,60
tre133,b60_2,08-09,60,180
tre133,b_55_1,08-09,480,480
tre133,b_55_2,08-09,180,60
tre133,c60,08-09,240,120
tre133,d50,08-09,240,0
tre133,e_41_1,08-09,120,180
tre133,e_41_2,08-09,180,120
tre133,f50,08-09,300,720
tre133,a60,09-10,0,0
tre133,a_31,09-10,540,660
tre133,b60_1,09-10,180,300
tre133,b60_2,09-10,0,240
tre133,b_55_1,09-10,660,420
tre133,b_55_2,09-10,180,180
tre133,c60,09-10,480,540
tre133,d50,09-10,180,240
tre133,e_41_1,09-10,180,540
tre133,e_41_2,09-10,300,660
tre133,f50,09-10,780,420
tre133,a60,10-11,0,0
tre133,a_31,10-11,180,420
tre133,b60_1,10-11,240,60
tre133,b60_2,10-11,120,180
tre133,b_55_1,10-11,420,600
tre133,b_55_2,10-11,120,360
tre133,c60,10-11,120,180
tre133,d50,10-11,180,240
tre133,e_41_1,10-11,420,120
tre133,e_41_2,10-11,360,480
tre133,f50,10-11,360,300
tre133,a60,11-12,0,0
tre133,a_31,11-12,1020,720
tre133,b60_1,11-12,60,300
tre133,b60_2,11-12,0,0
tre133,b_55_1,11-12,360,780
tre133,b_55_2,11-12,120,180
tre133,c60,11-12,360,480
tre133,d50,11-12,300,300
tre133,e_41_1,11-12,720,360
tre133,e_41_2,11-12,720,540
tre133,f50,11-12,420,420
tre133,a60,12-13,0,0
tre133,a_31,12-13,660,600
tre133,b60_1,12-13,480,180
tre133,b60_2,12-13,120,60
tre133,b_55_1,12-13,420,420
tre133,b_55_2,12-13,60,360
tre133,c60,12-13,180,300
tre133,d50,12-13,360,120
tre133,e_41_1,12-13,360,660
tre133,e_41_2,12-13,540,540
tre133,f50,12-13,420,240
tre133,a60,13-14,0,0
tre133,a_31,13-14,300,780
tre133,b60_1,13-14,300,180
tre133,b60_2,13-14,300,60
tre133,b_55_1,13-14,360,540
tre133,b_55_2,13-14,120,360
tre133,c60,13-14,240,360
tre133,d50,13-14,240,180
tre133,e_41_1,13-14,180,300
tre133,e_41_2,13-14,240,180
tre133,f50,13-14,180,240
tre133,a60,14-15,0,0
tre133,a_31,14-15,1320,900
tre133,b60_1,14-15,300,180
tre133,b60_2,14-15,180,180
tre133,b_55_1,14-15,60,420
tre133,b_55_2,14-15,180,120
tre133,c60,14-15,1140,1020
tre133,d50,14-15,300,120
tre133,e_41_1,14-15,480,720
tre133,e_41_2,14-15,720,840
tre133,f50,14-15,0,480
tre133,a60,15-16,0,0
tre133,a_31,15-16,660,1500
tre133,b60_1,15-16,300,180
tre133,b60_2,15-16,180,120
tre133,b_55_1,15-16,300,180
tre133,b_55_2,15-16,240,240
tre133,c60,15-16,780,360
tre133,d50,15-16,240,180
tre133,e_41_1,15-16,480,480
tre133,e_41_2,15-16,900,600
tre133,f50,15-16,240,240
tre133,a60,16-17,0,0
tre133,a_31,16-17,480,960
tre133,b60_1,16-17,300,120
tre133,b60_2,16-17,120,120
