device;detector;time;traffic_monday;traffic_tuesday;traffic_wednesday;traffic_thursday;traffic_friday;traffic_saturday;traffic_sunday
tre133;a60;00-01;0;0;0;0;0;0;0
tre133;a_31;00-01;0;0;60;180;0;120;180
tre133;b60_1;00-01;0;0;60;0;0;0;120
tre133;b60_2;00-01;0;0;0;0;0;0;0
tre133;b_55_1;00-01;0;0;60;0;0;60;120
tre133;b_55_2;00-01;0;60;0;0;0;60;0
tre133;c60;00-01;0;60;0;0;0;60;60
tre133;d50;00-01;0;0;0;0;0;0;0
tre133;e_41_1;00-01;0;60;0;0;0;0;0
tre133;e_41_2;00-01;0;60;0;0;0;0;0
tre133;f50;00-01;0;0;0;0;0;60;60
tre133;a60;01-02;0;0;0;0;0;0;0
tre133;a_31;01-02;0;0;60;0;60;120;120
tre133;b60_1;01-02;60;0;0;0;0;0;60
tre133;b60_2;01-02;0;0;0;0;0;0;0
tre133;b_55_1;01-02;60;0;60;0;0;0;60
tre133;b_55_2;01-02;0;0;0;0;60;60;0
tre133;c60;01-02;0;0;60;0;60;60;60
tre133;d50;01-02;0;0;0;0;60;60;0
tre133;e_41_1;01-02;0;0;0;0;0;0;0
tre133;e_41_2;01-02;0;0;0;0;0;0;0
tre133;f50;01-02;60;0;60;0;0;0;0
tre133;a60;02-03;0;0;0;0;0;0;0
tre133;a_31;02-03;0;60;0;0;60;0;0
tre133;b60_1;02-03;0;0;60;60;0;0;60
tre133;b60_2;02-03;60;0;0;0;0;0;120
tre133;b_55_1;02-03;0;60;0;60;0;0;180
tre133;b_55_2;02-03;0;0;0;0;0;0;120
tre133;c60;02-03;0;0;0;0;0;60;0
tre133;d50;02-03;0;0;0;0;0;240;0
tre133;e_41_1;02-03;0;0;0;0;0;180;60
tre133;e_41_2;02-03;0;0;0;0;0;60;120
tre133;f50;02-03;0;60;0;0;0;60;60
tre133;a60;03-04;0;0;0;0;0;0;0
tre133;a_31;03-04;0;0;0;0;60;0;60
tre133;b60_1;03-04;0;0;0;0;60;0;0
tre133;b60_2;03-04;0;0;0;0;0;0;0
tre133;b_55_1;03-04;120;0;0;60;180;0;0
